Fecha,Semana del Año,Plataforma,Score,Cantidad de Reviews
2026-04-28,18,Trustpilot,4.4,174
2026-04-28,18,Clutch,4.9,62
2026-04-28,18,Glassdoor,N/A,N/A
2026-04-28,18,TeamBlind,N/A,N/A
2026-04-28,18,Indeed,N/A,N/A
