Fecha,Semana del Año,Plataforma,Score,Cantidad de Reviews
2026-04-29,18,Trustpilot,4.4,174
2026-04-29,18,Clutch,4.9,62
2026-04-29,18,Glassdoor,N/A,N/A
2026-04-29,18,TeamBlind,4.1,N/A
2026-04-29,18,Indeed,N/A,N/A
